TCM_symptom_id,Syndrome_id
SMTS00368,SMSY00024
SMTS00369,SMSY00024
SMTS00370,SMSY00024
SMTS00371,SMSY00024
SMTS00372,SMSY00024
SMTS00373,SMSY00024
SMTS00419,SMSY00024
SMTS00449,SMSY00024
SMTS00450,SMSY00024
SMTS01034,SMSY00024
SMTS01537,SMSY00024
SMTS01538,SMSY00024
SMTS01663,SMSY00024
SMTS01767,SMSY00024
SMTS01768,SMSY00024
SMTS02120,SMSY00024
SMTS02238,SMSY00024
SMTS02239,SMSY00024
SMTS02240,SMSY00024
SMTS02322,SMSY00024
SMTS00794,SMSY00025
SMTS01172,SMSY00025
SMTS01216,SMSY00025
SMTS01217,SMSY00025
SMTS01218,SMSY00025
SMTS01378,SMSY00025
SMTS02131,SMSY00025
SMTS02132,SMSY00025
SMTS02213,SMSY00025
SMTS00282,SMSY00026
SMTS00289,SMSY00026
SMTS00376,SMSY00026
SMTS00964,SMSY00026
SMTS01016,SMSY00026
SMTS01017,SMSY00026
SMTS01031,SMSY00026
SMTS01151,SMSY00026
SMTS01171,SMSY00026
SMTS01174,SMSY00026
SMTS01175,SMSY00026
SMTS01214,SMSY00026
SMTS01215,SMSY00026
SMTS01296,SMSY00026
SMTS01297,SMSY00026
SMTS01301,SMSY00026
SMTS01330,SMSY00026
SMTS01368,SMSY00026
SMTS01528,SMSY00026
SMTS01539,SMSY00026
SMTS01842,SMSY00026
SMTS01887,SMSY00026
SMTS02003,SMSY00026
SMTS02183,SMSY00026
SMTS02184,SMSY00026
SMTS02212,SMSY00026
SMTS02225,SMSY00026
SMTS02309,SMSY00026
SMTS00335,SMSY00027
SMTS00378,SMSY00027
SMTS01057,SMSY00027
SMTS01066,SMSY00027
SMTS01085,SMSY00027
SMTS01149,SMSY00027
SMTS00003,SMSY00028
SMTS00004,SMSY00028
SMTS00282,SMSY00028
SMTS00288,SMSY00028
SMTS00289,SMSY00028
SMTS00294,SMSY00028
SMTS00341,SMSY00028
SMTS00376,SMSY00028
SMTS00385,SMSY00028
SMTS00386,SMSY00028
SMTS00472,SMSY00028
SMTS00473,SMSY00028
SMTS00474,SMSY00028
SMTS00476,SMSY00028
SMTS00477,SMSY00028
SMTS00480,SMSY00028
SMTS00481,SMSY00028
SMTS00483,SMSY00028
SMTS00493,SMSY00028
SMTS00800,SMSY00028
SMTS00889,SMSY00028
SMTS00890,SMSY00028
SMTS00891,SMSY00028
SMTS00964,SMSY00028
SMTS01016,SMSY00028
SMTS01017,SMSY00028
SMTS01031,SMSY00028
SMTS01110,SMSY00028
SMTS01116,SMSY00028
SMTS01151,SMSY00028
SMTS01171,SMSY00028
SMTS01174,SMSY00028
SMTS01175,SMSY00028
SMTS01214,SMSY00028
SMTS01215,SMSY00028
SMTS01296,SMSY00028
SMTS01297,SMSY00028
SMTS01301,SMSY00028
SMTS01330,SMSY00028
SMTS01368,SMSY00028
SMTS01528,SMSY00028
SMTS01539,SMSY00028
SMTS01618,SMSY00028
SMTS01621,SMSY00028
SMTS01838,SMSY00028
SMTS01842,SMSY00028
SMTS01844,SMSY00028
SMTS01887,SMSY00028
SMTS02085,SMSY00028
SMTS02183,SMSY00028
SMTS02184,SMSY00028
SMTS02212,SMSY00028
SMTS02225,SMSY00028
SMTS02241,SMSY00028
SMTS02309,SMSY00028
SMTS00335,SMSY00029
SMTS00378,SMSY00029
SMTS01057,SMSY00029
SMTS01066,SMSY00029
SMTS01085,SMSY00029
SMTS01149,SMSY00029
SMTS00317,SMSY00030
SMTS00334,SMSY00030
SMTS01060,SMSY00030
SMTS01064,SMSY00030
SMTS01071,SMSY00030
SMTS01072,SMSY00030
SMTS01073,SMSY00030
SMTS01079,SMSY00030
SMTS01080,SMSY00030
SMTS01081,SMSY00030
SMTS01082,SMSY00030
SMTS01091,SMSY00030
SMTS01289,SMSY00030
SMTS01292,SMSY00030
SMTS01293,SMSY00030
SMTS01391,SMSY00030
SMTS01853,SMSY00030
SMTS01854,SMSY00030
SMTS01855,SMSY00030
SMTS01856,SMSY00030
SMTS01857,SMSY00030
SMTS01860,SMSY00030
SMTS01126,SMSY00031
SMTS01127,SMSY00031
SMTS01128,SMSY00031
SMTS01132,SMSY00031
SMTS01133,SMSY00031
SMTS01134,SMSY00031
SMTS01862,SMSY00031
SMTS00057,SMSY00032
SMTS00153,SMSY00032
SMTS00154,SMSY00032
SMTS00160,SMSY00032
SMTS00171,SMSY00032
SMTS00573,SMSY00032
SMTS00579,SMSY00032
SMTS00586,SMSY00032
SMTS00587,SMSY00032
SMTS00590,SMSY00032
SMTS00670,SMSY00032
SMTS00905,SMSY00032
SMTS00908,SMSY00032
SMTS00910,SMSY00032
SMTS00912,SMSY00032
SMTS00915,SMSY00032
SMTS01152,SMSY00032
SMTS01268,SMSY00032
SMTS01270,SMSY00032
SMTS01339,SMSY00032
SMTS01346,SMSY00032
SMTS01445,SMSY00032
SMTS01446,SMSY00032
SMTS01447,SMSY00032
SMTS01549,SMSY00032
SMTS01559,SMSY00032
SMTS01674,SMSY00032
SMTS01721,SMSY00032
SMTS01829,SMSY00032
SMTS02269,SMSY00032
SMTS02270,SMSY00032
SMTS02271,SMSY00032
SMTS00057,SMSY00033
SMTS00093,SMSY00033
SMTS00183,SMSY00033
SMTS00226,SMSY00033
SMTS00926,SMSY00033
SMTS01028,SMSY00033
SMTS01140,SMSY00033
SMTS01235,SMSY00033
SMTS01325,SMSY00033
SMTS01327,SMSY00033
SMTS01333,SMSY00033
SMTS01334,SMSY00033
SMTS01335,SMSY00033
SMTS01344,SMSY00033
SMTS01345,SMSY00033
SMTS01470,SMSY00033
SMTS01472,SMSY00033
SMTS01540,SMSY00033
SMTS01542,SMSY00033
SMTS01561,SMSY00033
SMTS01616,SMSY00033
SMTS01721,SMSY00033
SMTS01829,SMSY00033
SMTS01882,SMSY00033
SMTS01883,SMSY00033
SMTS02229,SMSY00033
SMTS00046,SMSY00034
SMTS00060,SMSY00034
SMTS00151,SMSY00034
SMTS00161,SMSY00034
SMTS00162,SMSY00034
SMTS00164,SMSY00034
SMTS00165,SMSY00034
SMTS00166,SMSY00034
SMTS00169,SMSY00034
SMTS00211,SMSY00034
SMTS00214,SMSY00034
SMTS00292,SMSY00034
SMTS00293,SMSY00034
SMTS00499,SMSY00034
SMTS00542,SMSY00034
SMTS00543,SMSY00034
SMTS00652,SMSY00034
SMTS00675,SMSY00034
SMTS00680,SMSY00034
SMTS00682,SMSY00034
SMTS00896,SMSY00034
SMTS00954,SMSY00034
SMTS00990,SMSY00034
SMTS00992,SMSY00034
SMTS01036,SMSY00034
SMTS01141,SMSY00034
SMTS01340,SMSY00034
SMTS01762,SMSY00034
SMTS02223,SMSY00034
SMTS00036,SMSY00035
SMTS00280,SMSY00035
SMTS00281,SMSY00035
SMTS00288,SMSY00035
SMTS00470,SMSY00035
SMTS00480,SMSY00035
SMTS00481,SMSY00035
SMTS00493,SMSY00035
SMTS00875,SMSY00035
SMTS00891,SMSY00035
SMTS01116,SMSY00035
SMTS01175,SMSY00035
SMTS01301,SMSY00035
SMTS01323,SMSY00035
SMTS01329,SMSY00035
SMTS01341,SMSY00035
SMTS01342,SMSY00035
SMTS01343,SMSY00035
SMTS01361,SMSY00035
