Syndrome_id,Herb_id
SMSY00108,SMHB00231
SMSY00108,SMHB00353
SMSY00108,SMHB00552
SMSY00108,SMHB00273
SMSY00108,SMHB00301
SMSY00108,SMHB00303
SMSY00108,SMHB00285
SMSY00108,SMHB00546
SMSY00108,SMHB00146
SMSY00108,SMHB00133
SMSY00108,SMHB00019
SMSY00108,SMHB00001
SMSY00108,SMHB00539
SMSY00108,SMHB00490
SMSY00108,SMHB00495
SMSY00108,SMHB00498
SMSY00108,SMHB00230
SMSY00108,SMHB00651
SMSY00108,SMHB00202
SMSY00108,SMHB00607
SMSY00108,SMHB00064
SMSY00108,SMHB00436
SMSY00108,SMHB00118
SMSY00109,SMHB00588
SMSY00109,SMHB00398
SMSY00109,SMHB00303
SMSY00109,SMHB00491
SMSY00109,SMHB00566
SMSY00109,SMHB00628
SMSY00110,SMHB00345
SMSY00110,SMHB00093
SMSY00110,SMHB00336
SMSY00110,SMHB00500
SMSY00110,SMHB00464
SMSY00110,SMHB00110
SMSY00110,SMHB00319
SMSY00110,SMHB00039
SMSY00110,SMHB00315
SMSY00110,SMHB00517
SMSY00110,SMHB00507
SMSY00110,SMHB00091
SMSY00110,SMHB00085
SMSY00110,SMHB00395
SMSY00110,SMHB00398
SMSY00110,SMHB00527
SMSY00110,SMHB00364
SMSY00110,SMHB00522
SMSY00110,SMHB00523
SMSY00110,SMHB00515
SMSY00110,SMHB00360
SMSY00110,SMHB00075
SMSY00110,SMHB00077
SMSY00110,SMHB00505
SMSY00110,SMHB00152
SMSY00110,SMHB00474
SMSY00110,SMHB00486
SMSY00110,SMHB00182
SMSY00110,SMHB00220
SMSY00110,SMHB00536
SMSY00110,SMHB00353
SMSY00110,SMHB00478
SMSY00110,SMHB00674
SMSY00110,SMHB00254
SMSY00110,SMHB00304
SMSY00110,SMHB00303
SMSY00110,SMHB00489
SMSY00110,SMHB00170
SMSY00110,SMHB00549
SMSY00110,SMHB00370
SMSY00110,SMHB00491
SMSY00110,SMHB00566
SMSY00110,SMHB00495
SMSY00110,SMHB00579
SMSY00110,SMHB00262
SMSY00110,SMHB00628
SMSY00110,SMHB00117
SMSY00110,SMHB00312
SMSY00110,SMHB00569
SMSY00110,SMHB00424
SMSY00110,SMHB00031
SMSY00110,SMHB00065
SMSY00110,SMHB00062
SMSY00110,SMHB00061
SMSY00110,SMHB00469
SMSY00110,SMHB00210
SMSY00110,SMHB00597
SMSY00110,SMHB00465
SMSY00110,SMHB00187
SMSY00110,SMHB00165
SMSY00111,SMHB00022
SMSY00111,SMHB00035
SMSY00111,SMHB00446
SMSY00111,SMHB00202
SMSY00111,SMHB00129
SMSY00111,SMHB00155
SMSY00111,SMHB00315
SMSY00111,SMHB00425
SMSY00111,SMHB00047
SMSY00111,SMHB00159
SMSY00111,SMHB00232
SMSY00111,SMHB00318
SMSY00111,SMHB00480
SMSY00111,SMHB00485
SMSY00111,SMHB00135
SMSY00111,SMHB00171
SMSY00111,SMHB00211
SMSY00111,SMHB00472
SMSY00111,SMHB00473
SMSY00111,SMHB00060
SMSY00113,SMHB00060
SMSY00114,SMHB00485
SMSY00115,SMHB00211
SMSY00115,SMHB00318
SMSY00115,SMHB00135
SMSY00115,SMHB00574
SMSY00115,SMHB00472
SMSY00116,SMHB00446
SMSY00116,SMHB00202
SMSY00117,SMHB00168
SMSY00117,SMHB00584
SMSY00117,SMHB00153
SMSY00118,SMHB00584
SMSY00119,SMHB00559
SMSY00119,SMHB00567
SMSY00120,SMHB00346
SMSY00120,SMHB00345
SMSY00120,SMHB00093
SMSY00120,SMHB00336
SMSY00120,SMHB00500
SMSY00120,SMHB00464
SMSY00120,SMHB00039
SMSY00120,SMHB00315
SMSY00120,SMHB00517
SMSY00120,SMHB00507
SMSY00120,SMHB00427
SMSY00120,SMHB00085
SMSY00120,SMHB00395
SMSY00120,SMHB00527
SMSY00120,SMHB00522
SMSY00120,SMHB00523
SMSY00120,SMHB00515
SMSY00120,SMHB00360
SMSY00120,SMHB00077
SMSY00120,SMHB00505
SMSY00120,SMHB00152
SMSY00120,SMHB00474
SMSY00120,SMHB00182
SMSY00120,SMHB00536
SMSY00120,SMHB00353
SMSY00120,SMHB00478
SMSY00120,SMHB00685
SMSY00120,SMHB00254
SMSY00120,SMHB00304
SMSY00120,SMHB00303
SMSY00120,SMHB00445
SMSY00120,SMHB00456
SMSY00120,SMHB00370
SMSY00120,SMHB00579
SMSY00120,SMHB00129
SMSY00120,SMHB00117
SMSY00120,SMHB00312
SMSY00120,SMHB00569
SMSY00120,SMHB00424
SMSY00120,SMHB00031
SMSY00120,SMHB00065
SMSY00120,SMHB00469
SMSY00120,SMHB00461
SMSY00120,SMHB00597
SMSY00120,SMHB00655
SMSY00120,SMHB00702
SMSY00120,SMHB00187
SMSY00120,SMHB00165
SMSY00121,SMHB00077
SMSY00121,SMHB00129
SMSY00121,SMHB00155
SMSY00121,SMHB00194
SMSY00121,SMHB00427
SMSY00121,SMHB00461
SMSY00122,SMHB00345
SMSY00122,SMHB00093
SMSY00122,SMHB00341
SMSY00122,SMHB00500
SMSY00122,SMHB00464
SMSY00122,SMHB00039
SMSY00122,SMHB00315
SMSY00122,SMHB00517
SMSY00122,SMHB00507
SMSY00122,SMHB00427
SMSY00122,SMHB00085
SMSY00122,SMHB00395
SMSY00122,SMHB00527
SMSY00122,SMHB00522
SMSY00122,SMHB00523
SMSY00122,SMHB00515
SMSY00122,SMHB00360
SMSY00122,SMHB00077
SMSY00122,SMHB00505
SMSY00122,SMHB00152
SMSY00122,SMHB00474
SMSY00122,SMHB00182
SMSY00122,SMHB00536
SMSY00122,SMHB00353
SMSY00122,SMHB00277
SMSY00122,SMHB00478
